datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
3/17/2017,6700,58.65102639,45.45454545,36.6568915,35.19061584,35.19061584,35.19061584
3/20/2017,6000,56.57708628,43.84724187,35.36067893,33.94625177,33.94625177,33.94625177
3/27/2017,6200,81.799591,61.34969325,53.16973415,49.0797546,49.0797546,49.0797546
3/30/2017,4100,74.95429616,58.50091408,47.53199269,42.96160878,40.21937843,38.39122486
3/31/2017,5500,77.22007722,61.77606178,54.05405405,48.26254826,46.33204633,46.33204633
4/3/2017,5100,85.71428571,65.30612245,55.10204082,48.97959184,48.97959184,48.97959184
4/7/2017,5900,84.74576271,64.40677966,54.23728814,47.45762712,47.45762712,47.45762712
4/10/2017,6100,80.64516129,59.67741935,53.22580645,48.38709677,48.38709677,45.16129032
4/14/2017,5700,106.0070671,60.07067138,56.53710247,56.53710247,56.53710247,56.53710247
4/18/2017,5000,79.24528302,71.69811321,67.9245283,62.26415094,56.60377358,56.60377358
4/21/2017,3900,81.18811881,61.38613861,55.44554455,53.46534653,47.52475248,47.52475248
4/24/2017,6500,95.38461538,73.84615385,58.46153846,52.30769231,49.23076923,49.23076923
4/26/2017,6500,108.7719298,84.21052632,66.66666667,59.64912281,56.14035088,56.14035088
5/1/2017,5400,139.3258427,107.8651685,85.39325843,76.40449438,71.91011236,71.91011236
5/4/2017,5000,87.33624454,58.95196507,50.21834061,43.66812227,43.66812227,43.66812227
5/8/2017,4500,64.12825651,50.1002004,40.08016032,36.07214429,36.07214429,36.07214429
5/12/2017,4800,91.32420091,68.49315068,57.07762557,50.2283105,45.66210046,45.66210046
5/15/2017,3100,94.30255403,68.76227898,51.0805501,43.22200393,39.29273084,39.29273084
5/18/2017,3100,89.79591837,67.34693878,61.2244898,51.02040816,51.02040816,40.81632653
5/19/2017,4800,108,80,66,60,58,52
5/22/2017,6100,103.7593985,75.18796992,63.15789474,54.13533835,51.12781955,48.12030075
5/24/2017,5700,94.04388715,76.80250784,59.56112853,53.29153605,50.15673981,47.02194357
5/29/2017,5600,179.3248945,160.3375527,126.5822785,118.1434599,107.5949367,97.0464135
6/1/2017,4800,,187.5,181.25,170.8333333,156.25,143.75
6/2/2017,4800,,140.077821,124.5136187,108.9494163,97.27626459,89.49416342
6/6/2017,5100,152.5157233,147.7987421,136.7924528,119.4968553,110.0628931,100.6289308
6/8/2017,5200,151.8518519,111.1111111,92.59259259,85.18518519,77.77777778,74.07407407
6/9/2017,5000,122.8571429,102.8571429,91.42857143,80,74.28571429,71.42857143
6/13/2017,5000,115.2263374,86.41975309,74.07407407,65.8436214,61.72839506,61.72839506
6/18/2017,5500,105.4852321,78.05907173,63.29113924,59.07172996,54.85232068,50.63291139
6/22/2017,4800,85.3432282,63.07977737,51.94805195,48.23747681,44.52690167,40.81632653
6/27/2017,4600,86.76789588,58.56832972,52.06073753,47.72234273,43.38394794,43.38394794
6/30/2017,5220,82.98755187,49.79253112,45.64315353,41.49377593,41.49377593,41.49377593
7/4/2017,5300,57.97101449,45.54865424,41.40786749,37.26708075,37.26708075,37.26708075
7/6/2017,5400,54.16666667,41.66666667,41.66666667,37.5,37.5,37.5
7/10/2017,5900,66.66666667,49.01960784,41.17647059,39.21568627,39.21568627,39.21568627
7/14/2017,5300,56.89655172,44.82758621,37.93103448,34.48275862,32.75862069,32.75862069
7/17/2017,5300,59.42028986,39.13043478,33.33333333,30.43478261,27.53623188,26.08695652
7/21/2017,6200,51.61290323,38.70967742,27.41935484,25.80645161,24.19354839,24.19354839
7/25/2017,5600,62.92134831,49.43820225,40.4494382,35.95505618,33.70786517,33.70786517
7/28/2017,5100,59.27342256,42.06500956,32.50478011,30.59273423,28.68068834,26.76864245
7/31/2017,4700,61.2244898,36.73469388,32.65306122,30.6122449,28.57142857,28.57142857
8/4/2017,4700,65.26315789,44.21052632,35.78947368,31.57894737,29.47368421,29.47368421
8/7/2017,4400,50,34.09090909,29.54545455,29.54545455,27.27272727,25
8/11/2017,4300,60.94588006,41.44319844,34.12969283,31.69185763,29.25402243,29.25402243
8/14/2017,4300,55.26315789,38.15789474,34.21052632,31.57894737,28.94736842,27.63157895
8/18/2017,4300,37.90322581,28.22580645,24.19354839,21.77419355,20.96774194,20.16129032
8/21/2017,5100,35,30,22,21,20,20
8/25/2017,4200,36.04651163,23.25581395,20.93023256,19.76744186,18.60465116,18.60465116
8/28/2017,4100,34.52380952,26.19047619,23.80952381,21.42857143,20.23809524,20.23809524
8/31/2017,3900,40.54054054,29.72972973,27.02702703,24.32432432,22.97297297,22.97297297
9/5/2017,5200,48,38,30,27,25,24
9/7/2017,5000,54.34782609,38.04347826,30.43478261,28.26086957,26.08695652,23.91304348
9/11/2017,4500,48.52941176,41.17647059,33.82352941,30.88235294,29.41176471,27.94117647
9/15/2017,4400,53.84615385,47.43589744,43.58974359,42.30769231,41.02564103,41.02564103
9/21/2017,4600,71.79487179,51.28205128,46.15384615,41.02564103,41.02564103,39.74358974
9/25/2017,3700,63.95348837,46.51162791,41.86046512,37.20930233,36.04651163,34.88372093
9/28/2017,3700,62.22222222,47.77777778,40,36.66666667,35.55555556,34.44444444
